DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
22/01/2015,607.68,610.31,613.35,604.35,37376271
23/01/2015,611.79,615.16,618.9,611.79,104393833
26/01/2015,618.14,612.64,619.21,612.64,33649130
27/01/2015,613.03,609.98,616.69,606.75,56866870
28/01/2015,610.54,613.53,614.95,608.41,43404800
29/01/2015,613.87,613.9,615.63,610.57,40355329
30/01/2015,613.41,606.54,613.47,604.98,34096980
2/2/2015,606.02,598.46,609.79,598.46,44364758
3/2/2015,600.02,585.47,601.33,585.47,39455200
4/2/2015,585.32,588.83,588.83,581.24,46468730
5/2/2015,587.54,591.28,593.56,587.47,31945500
6/2/2015,592.4,595.69,597.06,592.4,24728420
9/2/2015,595.69,594.77,598.82,594.77,29376660
10/2/2015,594.79,595.53,599.43,594.72,26402935
11/2/2015,596.7,607.33,607.33,596.41,37316250
12/2/2015,608.89,613.36,614.69,608.89,38099420
13/02/2015,615.33,617.2,618.46,614.96,30585560
24/02/2015,619.48,624.17,624.17,618.73,28007509
25/02/2015,623.69,619.44,627.94,619.23,38759426
26/02/2015,621,623.84,623.99,618.09,46971800
27/02/2015,625.35,618.39,625.35,618.39,31762152
2/3/2015,619.2,617.05,621.04,615.39,42235614
3/3/2015,618,627.27,627.39,618,48260060
4/3/2015,628.77,629.69,630.52,625.66,39679750
5/3/2015,629.58,625.25,630.72,625.25,51035590
6/3/2015,625.15,622.75,629.71,622.75,39133200
9/3/2015,623.73,620.88,628.07,620.04,38691290
10/3/2015,619.37,621.1,622.95,618.96,54405220
11/3/2015,622.48,619.27,623.65,619.27,37286528
12/3/2015,619,620.24,621.81,616.52,37183790
13/03/2015,620.4,616.94,622.56,616.94,52540250
16/03/2015,613.99,610.63,616.42,609.78,52751850
17/03/2015,609.37,611.24,612.72,609.37,45739240
18/03/2015,610.31,607.18,611.2,607.08,43599400
19/03/2015,607.64,601.31,608.81,600.87,41174070
20/03/2015,600.19,603.76,604.67,599.91,107602830
23/03/2015,604.09,598.07,607.4,597.94,48070780
24/03/2015,596.65,593.8,596.65,590.18,36677020
25/03/2015,593.5,590.17,593.96,589.42,38819740
26/03/2015,587.99,586.7,590.94,585.81,32787940
27/03/2015,588.68,583.02,590.64,580.34,36945370
30/03/2015,583.22,576.6,584.99,576.41,53349877
31/03/2015,576.8,579.97,582.51,576.8,40452277
1/4/2015,580.27,569.48,580.61,568.45,58509230
2/4/2015,571.22,576.13,576.99,567.48,36448120
3/4/2015,577.36,577.66,580.11,574.43,30733150
6/4/2015,578.14,572.71,579.56,572.71,27748820
7/4/2015,572.72,577.69,578.21,570.09,42703600
8/4/2015,578.6,575.94,580.08,574.85,28399319
9/4/2015,575.5,578.35,581.25,575.36,31837030
10/4/2015,579.53,583.34,586.9,579.53,39868005
13/04/2015,586.09,589.77,589.77,585.86,27691921
14/04/2015,589.11,587.24,592.03,587.24,20617490
